Lectura analógica,Tiempo
326.0,0.0
345.0,0.0
346.0,0.0
348.0,0.0
351.0,0.0
345.0,0.0
347.0,0.0
348.0,0.0
321.0,0.0
330.0,0.0
332.0,0.0
334.0,0.0
329.0,0.0
329.0,0.0
330.0,0.0
333.0,0.0
339.0,0.0
355.0,0.0
355.0,0.0
358.0,0.0
329.0,0.0
344.0,0.0
344.0,0.0
346.0,0.0
323.0,0.0
333.0,0.0
334.0,0.0
336.0,0.0
325.0,0.0
336.0,0.0
337.0,0.0
339.0,0.0
296.0,22.0
304.0,22.0
305.0,22.0
309.0,22.0
313.0,22.0
307.0,22.0
308.0,22.0
310.0,22.0
291.0,22.0
294.0,22.0
294.0,22.0
297.0,22.0
297.0,22.0
293.0,22.0
295.0,22.0
298.0,22.0
306.0,22.0
312.0,22.0
313.0,22.0
315.0,22.0
294.0,22.0
306.0,22.0
306.0,22.0
310.0,22.0
303.0,22.0
300.0,22.0
301.0,22.0
303.0,22.0
300.0,22.0
299.0,22.0
300.0,22.0
303.0,22.0
277.0,43.0
279.0,43.0
281.0,43.0
284.0,43.0
288.0,43.0
282.0,43.0
283.0,43.0
285.0,43.0
271.0,43.0
270.0,43.0
272.0,43.0
275.0,43.0
276.0,43.0
273.0,43.0
273.0,43.0
277.0,43.0
286.0,43.0
288.0,43.0
288.0,43.0
291.0,43.0
274.0,43.0
283.0,43.0
284.0,43.0
287.0,43.0
289.0,43.0
278.0,43.0
279.0,43.0
282.0,43.0
283.0,43.0
276.0,43.0
277.0,43.0
280.0,43.0
263.0,66.0
263.0,66.0
264.0,66.0
267.0,66.0
272.0,66.0
265.0,66.0
266.0,66.0
269.0,66.0
257.0,66.0
254.0,66.0
256.0,66.0
259.0,66.0
261.0,66.0
256.0,66.0
258.0,66.0
261.0,66.0
270.0,66.0
269.0,66.0
271.0,66.0
274.0,66.0
258.0,66.0
267.0,66.0
269.0,66.0
272.0,66.0
278.0,66.0
263.0,66.0
265.0,66.0
268.0,66.0
271.0,66.0
262.0,66.0
262.0,66.0
266.0,66.0
250.0,87.0
251.0,87.0
252.0,87.0
255.0,87.0
260.0,87.0
252.0,87.0
254.0,87.0
257.0,87.0
247.0,87.0
242.0,87.0
244.0,87.0
247.0,87.0
251.0,87.0
246.0,87.0
247.0,87.0
251.0,87.0
259.0,87.0
257.0,87.0
258.0,87.0
262.0,87.0
245.0,87.0
256.0,87.0
257.0,87.0
260.0,87.0
268.0,87.0
251.0,87.0
252.0,87.0
255.0,87.0
261.0,87.0
248.0,87.0
250.0,87.0
253.0,87.0
242.0,110.0
241.0,110.0
241.0,110.0
245.0,110.0
250.0,110.0
242.0,110.0
243.0,110.0
247.0,110.0
238.0,110.0
233.0,110.0
233.0,110.0
238.0,110.0
241.0,110.0
236.0,110.0
238.0,110.0
241.0,110.0
251.0,110.0
247.0,110.0
248.0,110.0
253.0,110.0
237.0,110.0
246.0,110.0
248.0,110.0
251.0,110.0
261.0,110.0
241.0,110.0
242.0,110.0
247.0,110.0
253.0,110.0
239.0,110.0
240.0,110.0
244.0,110.0
235.0,132.0
233.0,132.0
234.0,132.0
238.0,132.0
242.0,132.0
234.0,132.0
235.0,132.0
240.0,132.0
230.0,132.0
225.0,132.0
226.0,132.0
230.0,132.0
233.0,132.0
229.0,132.0
229.0,132.0
234.0,132.0
243.0,132.0
240.0,132.0
240.0,132.0
245.0,132.0
228.0,132.0
238.0,132.0
239.0,132.0
243.0,132.0
254.0,132.0
234.0,132.0
234.0,132.0
239.0,132.0
248.0,132.0
231.0,132.0
232.0,132.0
236.0,132.0
229.0,154.0
226.0,154.0
228.0,154.0
231.0,154.0
235.0,154.0
228.0,154.0
229.0,154.0
233.0,154.0
224.0,154.0
219.0,154.0
219.0,154.0
223.0,154.0
227.0,154.0
224.0,154.0
224.0,154.0
228.0,154.0
238.0,154.0
234.0,154.0
234.0,154.0
237.0,154.0
221.0,154.0
232.0,154.0
232.0,154.0
237.0,154.0
248.0,154.0
227.0,154.0
228.0,154.0
231.0,154.0
242.0,154.0
224.0,154.0
225.0,154.0
229.0,154.0
224.0,176.0
221.0,176.0
222.0,176.0
226.0,176.0
230.0,176.0
221.0,176.0
223.0,176.0
227.0,176.0
219.0,176.0
212.0,176.0
213.0,176.0
217.0,176.0
222.0,176.0
216.0,176.0
217.0,176.0
222.0,176.0
231.0,176.0
226.0,176.0
228.0,176.0
231.0,176.0
215.0,176.0
226.0,176.0
226.0,176.0
231.0,176.0
243.0,176.0
222.0,176.0
223.0,176.0
227.0,176.0
237.0,176.0
218.0,176.0
219.0,176.0
